date,mineral,Flow,Quantity,Volume
2019-08-01,Copper, export,58907140.0,83.99999999999999
2019-08-01,Copper, import,57302556.0,97.52
2019-08-01,Graphite, export,2147.0,0.0
2019-08-01,Graphite, import,1155960.0,1.74
2019-08-01,Lithium, export,222042.0,0.8
2019-08-01,Lithium, import,63842246.0,154.08
2019-09-01,Copper, export,76620280.0,102.75
2019-09-01,Copper, import,79623898.0,129.92
2019-09-01,Graphite, export,23001.0,0.030000000000000002
2019-09-01,Graphite, import,1018655.0,1.49
2019-09-01,Lithium, export,288890.0,2.2
2019-09-01,Lithium, import,63878654.0,140.89
2019-10-01,Copper, export,16642412.0,28.87
2019-10-01,Copper, import,60854276.0,104.29
2019-10-01,Graphite, export,2019.0,0.0
2019-10-01,Graphite, import,833120.0,1.6300000000000001
2019-10-01,Lithium, export,58898.0,0.66
2019-10-01,Lithium, import,58216291.0,115.16
2019-11-01,Copper, export,2405984.0,8.31
2019-11-01,Copper, import,80690175.0,138.85
2019-11-01,Graphite, export,21.0,0.0
2019-11-01,Graphite, import,1506770.0,1.43
2019-11-01,Lithium, export,343984.0,1.04
2019-11-01,Lithium, import,47996174.0,93.85
2019-12-01,Copper, export,2947254.0,10.9
2019-12-01,Copper, import,102803413.0,154.97
2019-12-01,Graphite, export,34495.0,0.03
2019-12-01,Graphite, import,454816.0,0.9600000000000001
2019-12-01,Lithium, export,128158.0,1.51
2019-12-01,Lithium, import,45092832.0,99.62
2020-01-01,Copper, export,12998315.0,27.52
2020-01-01,Copper, import,132087205.0,215.72
2020-01-01,Graphite, export,41092.0,0.03
2020-01-01,Graphite, import,1871943.0,1.19
2020-01-01,Lithium, export,558516.0,0.8800000000000001
2020-01-01,Lithium, import,50597516.0,100.01
2020-02-01,Copper, export,3975604.0,11.1
2020-02-01,Copper, import,46172472.0,89.89
2020-02-01,Graphite, export,20637.0,0.07
2020-02-01,Graphite, import,1261223.0,1.15
2020-02-01,Lithium, export,145052.0,0.96
2020-02-01,Lithium, import,42147896.0,74.71000000000001
2020-03-01,Copper, export,7198075.0,12.55
2020-03-01,Copper, import,57815354.0,99.23
2020-03-01,Graphite, export,57963.0,0.04
2020-03-01,Graphite, import,834540.0,1.34
2020-03-01,Lithium, export,66495.0,1.65
2020-03-01,Lithium, import,24501281.0,69.18
2020-04-01,Copper, export,12271242.0,20.49
2020-04-01,Copper, import,45780338.0,87.31
2020-04-01,Graphite, export,22008.0,0.02
2020-04-01,Graphite, import,2462509.0,2.43
2020-04-01,Lithium, export,55403.0,0.25
2020-04-01,Lithium, import,13073732.0,34.75
2020-05-01,Copper, export,9797608.0,27.63
2020-05-01,Copper, import,32482796.0,78.2
2020-05-01,Graphite, export,29702.0,0.030000000000000002
2020-05-01,Graphite, import,4210009.0,3.22
2020-05-01,Lithium, export,59222.0,0.35
2020-05-01,Lithium, import,20890779.0,57.09
2020-06-01,Copper, export,21452620.0,40.07
2020-06-01,Copper, import,4412075.0,15.47
2020-06-01,Graphite, export,21705.0,0.03
2020-06-01,Graphite, import,1065800.0,1.66
2020-06-01,Lithium, export,196583.0,1.1500000000000001
2020-06-01,Lithium, import,20327694.0,55.21
2020-07-01,Copper, export,16847637.0,31.45
2020-07-01,Copper, import,77966245.0,148.25
2020-07-01,Graphite, export,16310.0,0.02
2020-07-01,Graphite, import,616935.0,1.3699999999999999
2020-07-01,Lithium, export,562250.0,2.5100000000000002
